SUM(OrderQty),Name,ProductID,OrderDate
498,"Classic Vest, S",864,"2013-06-30 00:00:00"
465,"Classic Vest, S",864,"2013-07-31 00:00:00"
444,"Short-Sleeve Classic Jersey, XL",884,"2013-06-30 00:00:00"
427,"Women's Mountain Shorts, S",867,"2013-06-30 00:00:00"
424,"Classic Vest, S",864,"2014-03-31 00:00:00"
420,"Short-Sleeve Classic Jersey, XL",884,"2013-07-31 00:00:00"
415,"AWC Logo Cap",712,"2013-06-30 00:00:00"
409,"Full-Finger Gloves, L",863,"2012-06-30 00:00:00"
406,"Long-Sleeve Logo Jersey, L",715,"2013-06-30 00:00:00"
397,"Hitch Rack - 4-Bike",876,"2013-07-31 00:00:00"
383,"Classic Vest, S",864,"2013-09-30 00:00:00"
383,"Classic Vest, S",864,"2014-05-01 00:00:00"
380,"Classic Vest, S",864,"2013-10-30 00:00:00"
374,"Women's Mountain Shorts, L",869,"2013-07-31 00:00:00"
363,"AWC Logo Cap",712,"2013-07-31 00:00:00"
363,"Hitch Rack - 4-Bike",876,"2013-06-30 00:00:00"
358,"Full-Finger Gloves, L",863,"2013-03-30 00:00:00"
357,"Full-Finger Gloves, L",863,"2012-05-30 00:00:00"
356,"Women's Mountain Shorts, S",867,"2013-07-31 00:00:00"
354,"Long-Sleeve Logo Jersey, L",715,"2013-07-31 00:00:00"
350,"Water Bottle - 30 oz.",870,"2013-06-30 00:00:00"
347,"Full-Finger Gloves, L",863,"2012-07-31 00:00:00"
345,"AWC Logo Cap",712,"2012-06-30 00:00:00"
339,"Bike Wash - Dissolver",877,"2013-06-30 00:00:00"
338,"Women's Mountain Shorts, L",869,"2013-06-30 00:00:00"
334,"Long-Sleeve Logo Jersey, L",715,"2012-06-30 00:00:00"
333,"Classic Vest, S",864,"2013-05-30 00:00:00"
331,"Full-Finger Gloves, L",863,"2012-09-30 00:00:00"
329,"Short-Sleeve Classic Jersey, XL",884,"2013-09-30 00:00:00"
322,"Racing Socks, L",875,"2013-06-30 00:00:00"
319,"Hydration Pack - 70 oz.",880,"2013-06-30 00:00:00"
317,"Short-Sleeve Classic Jersey, XL",884,"2013-05-30 00:00:00"
316,"Short-Sleeve Classic Jersey, L",883,"2013-06-30 00:00:00"
313,"Long-Sleeve Logo Jersey, L",715,"2013-09-30 00:00:00"
304,"Short-Sleeve Classic Jersey, L",883,"2013-07-31 00:00:00"
304,"Water Bottle - 30 oz.",870,"2013-07-31 00:00:00"
303,"Short-Sleeve Classic Jersey, XL",884,"2014-03-31 00:00:00"
302,"Sport-100 Helmet, Blue",711,"2013-06-30 00:00:00"
300,"Short-Sleeve Classic Jersey, XL",884,"2013-10-30 00:00:00"
298,"Short-Sleeve Classic Jersey, XL",884,"2014-05-01 00:00:00"
298,"Classic Vest, M",865,"2013-06-30 00:00:00"
296,"AWC Logo Cap",712,"2013-09-30 00:00:00"
295,"Women's Mountain Shorts, S",867,"2013-09-30 00:00:00"
294,"Hitch Rack - 4-Bike",876,"2013-09-30 00:00:00"
292,"Sport-100 Helmet, Red",707,"2013-07-31 00:00:00"
291,"Hitch Rack - 4-Bike",876,"2014-03-31 00:00:00"
291,"Classic Vest, S",864,"2013-08-30 00:00:00"
287,"Women's Tights, S",852,"2012-06-30 00:00:00"
284,"Women's Mountain Shorts, S",867,"2014-03-31 00:00:00"
283,"Half-Finger Gloves, M",859,"2013-07-31 00:00:00"
281,"Sport-100 Helmet, Black",708,"2013-06-30 00:00:00"
281,"Sport-100 Helmet, Black",708,"2013-07-31 00:00:00"
280,"Half-Finger Gloves, M",859,"2013-06-30 00:00:00"
279,"Water Bottle - 30 oz.",870,"2014-03-31 00:00:00"
279,"Bike Wash - Dissolver",877,"2013-07-31 00:00:00"
275,"Full-Finger Gloves, L",863,"2012-10-30 00:00:00"
274,"Full-Finger Gloves, M",862,"2012-06-30 00:00:00"
273,"Women's Tights, L",854,"2012-06-30 00:00:00"
273,"Long-Sleeve Logo Jersey, L",715,"2012-07-31 00:00:00"
269,"Hydration Pack - 70 oz.",880,"2013-07-31 00:00:00"
268,"Classic Vest, M",865,"2013-07-31 00:00:00"
266,"Sport-100 Helmet, Blue",711,"2013-07-31 00:00:00"
264,"Women's Mountain Shorts, S",867,"2014-05-01 00:00:00"
264,"Women's Mountain Shorts, L",869,"2014-03-31 00:00:00"
263,"Women's Mountain Shorts, L",869,"2013-09-30 00:00:00"
263,"AWC Logo Cap",712,"2014-03-31 00:00:00"
262,"Full-Finger Gloves, L",863,"2012-12-31 00:00:00"
260,"Hitch Rack - 4-Bike",876,"2013-10-30 00:00:00"
259,"AWC Logo Cap",712,"2013-05-30 00:00:00"
258,"Women's Mountain Shorts, S",867,"2013-10-30 00:00:00"
257,"Short-Sleeve Classic Jersey, L",883,"2014-05-01 00:00:00"
256,"Water Bottle - 30 oz.",870,"2013-10-30 00:00:00"
256,"Long-Sleeve Logo Jersey, L",715,"2013-05-30 00:00:00"
256,"Classic Vest, S",864,"2014-01-29 00:00:00"
254,"Full-Finger Gloves, M",862,"2012-07-31 00:00:00"
253,"Hitch Rack - 4-Bike",876,"2014-05-01 00:00:00"
251,"Water Bottle - 30 oz.",870,"2013-09-30 00:00:00"
